"fid","ART","NAME_DT","BHD","HOEHE","class","n_staemme","gwGruppe","a","b","c","RSfac","biomass","carbonmass","co2mass"
206,"Laubbaum","Hainbuche",11,8,"Buche",1,2,0.058,2.034,0.637,0.2,34.3613551220409,17.1806775610204,63.053086648945
207,"Laubbaum","Hainbuche",13,10.2,"Buche",1,3,0.058,2.034,0.637,0.2,56.3440846184274,28.1720423092137,103.391395274814
208,"Laubbaum","Hainbuche",13,9.3,"Buche",1,3,0.058,2.034,0.637,0.2,53.1243533181899,26.562176659095,97.4831883388785
209,"Laubbaum","Hainbuche",11,8.6,"Buche",1,2,0.058,2.034,0.637,0.2,35.9813517286516,17.9906758643258,66.0257804220757
210,"Laubbaum","Hainbuche",13,9.5,"Buche",1,3,0.058,2.034,0.637,0.2,53.8492866831196,26.9246433415598,98.8134410635245
211,"Laubbaum","Hainbuche",13,9.9,"Buche",1,3,0.058,2.034,0.637,0.2,55.2827498213037,27.6413749106518,101.443845922092
212,"Laubbaum","Hainbuche",12,9.6,"Buche",1,3,0.058,2.034,0.637,0.2,46.0649569381789,23.0324784690894,84.5291959815583
213,"Laubbaum","Hainbuche",12,9.9,"Buche",1,3,0.058,2.034,0.637,0.2,46.9768089963287,23.4884044981644,86.2024445082632
214,"Laubbaum","Südlicher Zürgelbaum",17,6.4,"Eiche",1,5,0.067,1.938,0.638,0.22,64.7720237439289,32.3860118719644,118.85666357011
215,"Laubbaum","Spitzahorn",21,9.4,"Eiche",1,5,0.067,1.938,0.638,0.22,124.666910573951,62.3334552869754,228.7637809032
216,"Laubbaum","Spitzahorn",21,9.3,"Eiche",1,5,0.067,1.938,0.638,0.22,123.819129879364,61.9095649396818,227.208103328632
217,"Laubbaum","Spitzahorn",18,7.5,"Eiche",1,5,0.067,1.938,0.638,0.22,80.0648389324636,40.0324194662318,146.918979441071
218,"Laubbaum","Spitzahorn",21,11.9,"Eiche",1,5,0.067,1.938,0.638,0.22,144.908742574885,72.4543712874427,265.907542624915
219,"Laubbaum","Spitzahorn",20,10.7,"Eiche",1,5,0.067,1.938,0.638,0.22,123.190612672728,61.5953063363641,226.054774254456
220,"Laubbaum","Hainbuche",20,8,"Buche",1,6,0.058,2.034,0.637,0.2,115.923790275563,57.9618951377817,212.720155155659
221,"Laubbaum","Hainbuche",12,7.4,"Buche",1,2,0.058,2.034,0.637,0.2,39.0269398935234,19.5134699467617,71.6144347046154
222,"Laubbaum","Hainbuche",60,5.4,"Buche",1,11,0.058,2.034,0.637,0.2,843.147793669915,421.573896834957,1547.17620138429
223,"Laubbaum","Blumen-Esche",17,5.4,"Eiche",1,5,0.067,1.938,0.638,0.22,58.1181607409549,29.0590803704775,106.646824959652
224,"Laubbaum","Blumen-Esche",17,5,"Eiche",1,5,0.067,1.938,0.638,0.22,55.3334190103966,27.6667095051983,101.536823884078
225,"Laubbaum","Blumen-Esche",19,5.3,"Eiche",1,6,0.067,1.938,0.638,0.22,71.2438067308263,35.6219033654131,130.732385351066
226,"Laubbaum","Blumen-Esche",18,5.4,"Eiche",1,6,0.067,1.938,0.638,0.22,64.9261972790545,32.4630986395272,119.139572007065
227,"Laubbaum","Blumen-Esche",18,5.4,"Eiche",1,6,0.067,1.938,0.638,0.22,64.9261972790545,32.4630986395272,119.139572007065
228,"Laubbaum","Blumen-Esche",19,5.6,"Eiche",1,6,0.067,1.938,0.638,0.22,73.7909451871151,36.8954725935576,135.406384418356
229,"Laubbaum","Platane",65,18.2,"Eiche",1,11,0.067,1.938,0.638,0.22,1697.40807574081,848.704037870407,3114.74381898439
230,"Nadelbaum","Platane",80,19.7,"Kiefer",1,11,0.044,2.096,0.712,0.22,4368.66831660797,2184.33415830398,8016.50636097562
231,"Laubbaum","Platane",84,18.3,"Eiche",1,11,0.067,1.938,0.638,0.22,2799.83014408084,1399.91507204042,5137.68831438835
232,"Laubbaum","Südlicher Zürgelbaum",23,8.4,"Eiche",1,5,0.067,1.938,0.638,0.22,138.405504938054,69.2027524690272,253.97410156133
233,"Laubbaum","Platane",94,18.2,"Eiche",1,11,0.067,1.938,0.638,0.22,3469.62037249937,1734.81018624969,6366.75338353635
234,"Laubbaum","Platane",38,17.5,"Eiche",1,8,0.067,1.938,0.638,0.22,584.942960311324,292.471480155662,1073.37033217128
235,"Laubbaum","Amerikanische Gleditschie",27,10,"Eiche",1,7,0.067,1.938,0.638,0.22,211.065673697814,105.532836848907,387.305511235489
237,"Laubbaum","Amerikanische Gleditschie",30,13.5,"Eiche",1,7,0.067,1.938,0.638,0.22,313.507958002494,156.753979001247,575.287102934576
238,"Nadelbaum","Feldahorn",25,11.5,"Eiche",1,6,0.067,1.938,0.638,0.22,198.777668478181,99.3888342390905,364.757021657462
239,"Laubbaum","Spitzahorn",31,12.2,"Eiche",1,7,0.067,1.938,0.638,0.22,313.177943522348,156.588971761174,574.681526363508
245,"Laubbaum","Japanischer Schnurbaum",39,14.3,"Eiche",1,8,0.067,1.938,0.638,0.22,540.782007558893,270.391003779447,992.334983870569
246,"Laubbaum","Japanischer Schnurbaum",63,14,"Eiche",1,11,0.067,1.938,0.638,0.22,1351.40743823046,675.70371911523,2479.83264915289
247,"Laubbaum","Japanischer Schnurbaum",40,11.4,"Eiche",1,9,0.067,1.938,0.638,0.22,491.509811610192,245.754905805096,901.920504304703
248,"Laubbaum","Winterlinde",30,16.1,"Buche",1,7,0.058,2.034,0.637,0.2,412.878201943094,206.439100971547,757.631500565578
249,"Laubbaum","Winterlinde",31,15.6,"Buche",1,7,0.058,2.034,0.637,0.2,432.572885976128,216.286442988064,793.771245766195
250,"Laubbaum","Winterlinde",36,17.5,"Buche",1,7,0.058,2.034,0.637,0.2,630.875647069646,315.437823534823,1157.6568123728
251,"Laubbaum","Winterlinde",37,16.9,"Buche",1,7,0.058,2.034,0.637,0.2,652.3720968606,326.1860484303,1197.1027977392
252,"Nadelbaum","Japanischer Schnurbaum",26,7.9,"Kiefer",1,7,0.044,2.096,0.712,0.22,216.126058607831,108.063029303915,396.59131754537
253,"Nadelbaum","Bergahorn",46.6690475583121,10.1,"Eiche",2,10,0.067,1.938,0.638,0.22,613.436694668959,306.71834733448,1125.65633471754
258,"Laubbaum","Gewöhnliche Rosskastanie",70,11.7,"Buche",1,11,0.058,2.034,0.637,0.2,1887.87418071735,943.937090358673,3464.24912161633
259,"Nadelbaum","Spitzahorn",16,3.5,"Eiche",1,5,0.067,1.938,0.638,0.22,39.1863282470638,19.5931641235319,71.906912333362
260,"Laubbaum","Ginkgo",9,3.7,"Eiche",1,1,0.067,1.938,0.638,0.22,13.3127972115199,6.65639860575995,24.428982883139
266,"Nadelbaum","Hainbuche",18,10.8,"Buche",1,5,0.058,2.034,0.637,0.2,113.272489945196,56.6362449725978,207.855019049434
267,"Laubbaum","Japanischer Wildapfel",58.0947501931113,4.4,"Eiche",15,11,0.067,1.938,0.638,0.22,551.892803503994,275.946401751997,1012.72329442983
