fid,STRINGGUID,KODIERUNG,BAUMNR,TYP,GEFAELLT_A,ART,PFLEGE,KD,CREATE_BY,CHANGE_BY,CREATE_DAT,CHANGE_DAT,Rechtswert,Hochwert,Baumart_la,Sorte,Bewaesseru,Baumalter,GA_NR,GA_NAME,Pflanzdatu,id,NAME_DT,NAME_LAT,BHD,KRONE_D,HOEHE,KOMMENTAR
164,{B71A8DE9-C61F-4AF6-837F-AC51D08C5E60},,"1.31649",B,,Laubbaum,False,4,,bruchsal_baum,,2023/11/07,3470890.18,5442955.25,Platanus x acerifolia,,"0",20 Jahre,1/001/068,Fußgängerzone mit Schönbornplatz,09.05.2003 00:00:00,1,Platane,Platanus x acerifolia,0.16,3.9,4.5,"4 qm, Rigole, Kopfbaum"
165,{8F6F2340-FAA0-4C6F-A5E9-67D40758833F},,"1.31650",B,,Laubbaum,False,4,,bruchsal_baum,,2024/01/18,3470886.64,5442952.08,Platanus x acerifolia,,"0",20 Jahre,1/001/068,Fußgängerzone mit Schönbornplatz,09.05.2003 00:00:00,1,Platane,Platanus x acerifolia,0.16,3.9,4.3,"4 qm, Rigole, Kopfbaum"
166,{15EC612C-3CBB-4536-8689-26E46BECB763},,"1.31651",B,,Laubbaum,False,4,,bruchsal_baum,,2024/01/18,3470883.03,5442948.87,Platanus x acerifolia,,"0",20 Jahre,1/001/068,Fußgängerzone mit Schönbornplatz,09.05.2003 00:00:00,1,Platane,Platanus x acerifolia,0.16,3.9,4,"4 qm, Rigole, Kopfbaum"
167,{7A205503-7E1D-48F0-98F9-32D9BD90D894},,"1.31661",B,,Laubbaum,False,7,,bruchsal_baum,,2024/01/18,0,0,TILIA CORDATA,Greenspire,"0",30 Jahre,1/001/068,Fußgängerzone mit Schönbornplatz,08.12.1993 00:00:00,1,Winterlinde,Tilia cordata,0.25,8,13.9,"4 qm,  Rabatte mit Zierpflanzen"
168,{A06D938E-D12B-4E9B-8792-620B5216A69A},1.007117-,"1.007117",B,,Laubbaum,False,3,,bruchsal_baum,,2024/01/18,0,0,Carpinus betulus,,"3",9 Jahre,1/001/008,Bürgerpark,11.08.2014 00:00:00,1,Hainbuche,Carpinus betulus,0.06,1.7,2.1,2 Hauptstämme a 0.06 m
169,{FEF820A3-8229-494A-B775-DEBAF76CB27E},1:007118-,"1.007118",B,,Laubbaum,False,4,,bruchsal_baum,,2024/01/18,0,0,Carpinus betulus,,"3",9 Jahre,1/001/008,Bürgerpark,11.08.2014 00:00:00,1,Hainbuche,Carpinus betulus,0.09,6,6.3,4 Hauptstämme a 0.09 m
170,{D379139B-200A-480D-AFAD-FFE066482850},,"1.01207",B,,Laubbaum,False,2,,bruchsal_baum,,2024/01/24,0,0,Prunus serrulata,Kanzan,"1",4 Jahre,1/001/012,Stadtgrabenstraße,15.01.2024 00:00:00,1,Japanische Blütenkirsche,Prunus serrulata,0.2,6.8,5,
171,{4BE5CB47-7F60-4F6E-9751-B3DE83FE6C2B},,"1.01208",B,,Laubbaum,False,4,,bruchsal_baum,,2024/01/09,0,0,Prunus serrulata,Kanzan,"0",18 Jahre,1/001/012,Stadtgrabenstraße,20.12.2005 00:00:00,1,Japanische Blütenkirsche,Prunus serrulata,0.18,4.9,5.6,BHD geschätzt
172,{F24F6800-8FE1-4DB3-9519-A353A1C6C304},,"1.01210",B,,Laubbaum,False,5,,bruchsal_baum,,2024/01/09,0,0,Prunus serrulata,Kanzan,"0",18 Jahre,1/001/012,Stadtgrabenstraße,20.12.2005 00:00:00,1,Japanische Blütenkirsche,Prunus serrulata,0.2,6.9,5.3,BHD geschätzt
173,{C1FF9DF5-17A2-42F5-820C-48449A341577},,"1.01211",B,,Laubbaum,False,1.5,,bruchsal_baum,,2024/01/09,0,0,Prunus serrulata,Kanzan,"3",7 Jahre,1/001/012,Stadtgrabenstraße,21.03.2016 00:00:00,1,Japanische Blütenkirsche,Prunus serrulata,0.08,1.7,4.6,BHD und Krone geschätzt
174,{A10B2AE3-6E07-4316-A02C-EAA50F8CD9F3},,"1.01212",B,,Laubbaum,False,9,,bruchsal_baum,,2024/01/09,0,0,Tilia spec.,,"0",43 Jahre,1/001/012,Stadtgrabenstraße,15.03.1980 00:00:00,1,Winterlinde,Tilia cordata,0.48,9,13.2,"6 qm, verdichteter Boden "
175,{19EB8CB6-B7D2-4E12-B516-4E0201DAC3BA},,"1.01214",B,,Laubbaum,False,5,,bruchsal_baum,,2024/01/09,0,0,Liquidambar  styraciflua,Worplesdon,"3",17 Jahre,1/001/012,Stadtgrabenstraße,07.03.2006 00:00:00,1,Amerikanischer Amberbaum,Liquidamber styraciflua,0.2,5.4,10.5,"4 qm, Rigole"
