fid,ART,NAME_DT,NAME_LAT,BHD,KRONE_D,HOEHE,KOMMENTAR
366,Laubbaum,Japanische Blütenkirsche,Prunus serrulata,0.07,1.5,4.4,
367,Nadelbaum,Steinweichsel,Prunus mahaleb,0.13,8.3,6,2 Stämme a 0.13 m
368,Laubbaum,Echte Feige,Ficus carica,0.1,4.5,4.1,8 Stämme a 0.1m
369,Laubbaum,Quitte,Cydonia oblonga,0.06,3,3.9,2 Hauptstämme a 0.06 m 
370,Laubbaum,Kornelkirsche,Cornus mas,0.09,3.8,4.5,Hartriegel? Apfel?
371,Laubbaum,Gemeine Hasel,Corylus avellana,0.07,3.7,6,"3 Hauptstämme a ca. 0.07 cm, BHD geschätzt"
372,Nadelbaum,Eibe,Taxus spec.,0.2,3.5,4.6,"BHD, Krone und Höhe geschätzt"
373,,,,,,,nicht zugänglich
374,,,,,,,nicht zugänglich
375,Laubbaum,Hängebirke,Betula pendula,0.3,5.5,7.5,BHD und Krone geschätzt 
376,Laubbaum,n.a.,Prunus spec.,0.25,6.5,7.8,"Art nicht genau bestimmbar, BHD und Krone geschätzt "
377,Nadelbaum,Schwarzkiefer,Pinus nigra ssp. Nigra,0.12,4,4.4,"Kiefer,  pinus spec?"
378,Nadelbaum,Schwarzkiefer,Pinus nigra ssp. Nigra,0.1,2.6,3.7,"Kiefer, Pinus spec.?"
379,Nadelbaum,Schwarzkiefer,Pinus nigra ssp. Nigra,0.06,2.5,4.2,"2 Stämme a 0.06 m,  Kiefer, Pinus spec."
380,Nadelbaum,Schwarzkiefer,Pinus nigra ssp. Nigra,0.06,2.7,3.8,"2 Stämme a 0.06 m, Kiefer, Pinus spec"
381,Laubbaum,Kornelkirsche,Cornus mas,0.09,5,4.9,3 Stämme a 0.09 m
382,Laubbaum,Felsenbirne,Amelanchier spec.,0.07,1.9,2.8,
383,Laubbaum,Kornelkirsche,Cornus mas,0.07,6.5,5.1,4 Stämme a 0.07
384,Laubbaum,Kornelkirsche,Cornus mas,0.13,5,4.5,2 Stämme a 0.13
385,Laubbaum,Felsenbirne,Amelanchier spec.,0.07,2.9,3.1,2 Stämme a 0.07 m
386,Laubbaum,Weidenblättrige Birne,Perus salicifonia,0.22,5.5,5.5,
387,Laubbaum,Hartriegel,Cornus spec.,0.07,6,3.5,4 Stämme a 0.07 m
388,Laubbaum,Dreispitzahorn,Acer buergerianum,0.18,7.5,7.8,2 Stämme a ca. 0.18 m
389,Laubbaum,Dreispitzahorn,Acer buergerianum,0.13,4.5,6,
390,Laubbaum,Dreispitzahorn,Acer buergerianum,0.12,5.8,7,2 Stämme a ca. 0.12
391,Laubbaum,Felsenbirne,Amelanchier spec.,0.06,5,4.2,5 Hauptstämme a ca. 0.06
392,Laubbaum,Hartriegel,Cornus spec.,0.06,4.2,2.8,"1 Haptstamm, Hartriegel spec."
393,Laubbaum,Hartriegel,Cornus spec.,0.08,4,3.2,"1 Hauptstamm, Hartriegel spec. "
394,Laubbaum,Hartriegel,Cornus spec.,0.09,4,6.1,"3 Stämme a 0.09 m, Hartriegel spec."
395,Laubbaum,Hartriegel,Cornus spec.,0.08,3.4,5.6,"3 Stämme a ca. 0.08, Hartriegel spec."
396,Laubbaum,Hartriegel,Cornus spec.,0.08,5.8,5.3,"3 Stämme a ca. 0.08 m, Hartriegel spec. "
397,Laubbaum,Hartriegel,Cornus spec.,0.07,5.8,6.1,"3 Stämme a ca. 0.07, Hartriegel spec."
398,Laubbaum,Hartriegel,Cornus spec.,0.08,5,5.8,"2 Hauptstämme a ca. 0.08, Hartriegel spec. "
399,Laubbaum,Hartriegel,Cornus spec.,0.11,4.5,6.4,"2 Stämme a ca. 0.11, Hartriegel spec. "
400,Laubbaum,Hartriegel,Cornus spec.,0.08,5.8,4.3,"4 Stämme a ca. 0.08, Hartriegel spec. "
401,Laubbaum,Hartriegel,Cornus spec.,0.08,4.3,6,"3 Stämme a ca.  0.08, Hartriegel spec. "
402,Laubbaum,Hartriegel,Cornus spec.,0.05,4.2,6,"10 Stämme a ca. 0.05, Hartriegel spec."
403,Laubbaum,Hartriegel,Cornus spec.,0.09,6.1,5.1,"2 Stämme a ca. 0.09, Hartriegel spec. "
404,Laubbaum,Hartriegel,Cornus spec.,0.07,4,4.7,"2 Stämme a ca. 0.07, Hartriegel spec. "
405,Laubbaum,Hartriegel,Cornus spec.,0.07,6.6,4.2,"BHD geschätzt, 4 Stämme a ca. 0.07, Hartriegel spec., "
406,Laubbaum,Hartriegel,Cornus spec.,0.07,6.2,4.4,"5 Stämme a ca. 0.07, Hartriegel spec."
407,Laubbaum,Hartriegel,Cornus spec.,0.07,5.2,6.1,"8 Stämme a ca. 0.07,  Hartriegel spec. "
408,Laubbaum,Hartriegel,Cornus spec.,0.11,4,6,"2 Stämme a ca. 0.11, Hartriegel spec."
409,Laubbaum,Hartriegel,Cornus spec.,0.05,5,3.8,"4 Stämme a ca. 0.05, Hartriegel spec."
410,Laubbaum,Hartriegel,Cornus spec.,0.06,4,4.3,2 Stämme a ca. 0.06
411,Laubbaum,Gewöhnlicher Liguster,Ligustrum vulgare,0.06,3.5,4.3,2 Stämme a ca. 0.06
412,Laubbaum,Baumliguster,Ligustrum lucidly,0.06,3.3,4.1,6 Stämme a ca. 0.06
413,Laubbaum,Kornelkirsche,Cornus mas,0.06,5.9,4.1,4 Stämme a ca. 0.06
414,Laubbaum,Baumliguster,Ligustrum lucidly,0.08,4,4.8,1 Hauptstamm
415,Laubbaum,Rote Heckenkirsche,Lonicera xylosteum,0.07,6.5,4,"7 Stämma a ca. 0.07, Krone geschätzt"
416,Laubbaum,Baumliguster,Ligustrum lucidly,0.09,6.2,5.2,"6 Stämme a ca. 0.09, BHD geschätzt "
417,Laubbaum,Baumliguster,Ligustrum lucidly,0.11,7.1,7.6,"7 Stämma a ca. 0.11, BHD geschätzt "
418,Laubbaum,Kirschpflaume,Prunus cerasifera,0.06,4.5,4.4,4 Hauptstämme a ca. 0.06
419,Nadelbaum,Eibe,Taxus spec.,0.07,2.8,4.5,
420,Laubbaum,Kleinfruchtiger Zierapfel,Malus toringo,0.07,4,3,"Auf Gründach: 2 Stämme a ca. 0.07,"
421,Laubbaum,Felsenbirne,Amelanchier spec.,0.06,3.5,3.3,Auf Gründach: 2 Stämme a ca. 0.06
422,Laubbaum,Süßkirsche,Prunus avium,0.13,5.5,4.1,Auf Gründach: 3 Stämme a ca. 0.13
423,Laubbaum,Felsenbirne,Amelanchier spec.,0.05,3.5,2.5,Auf Gründach: 3 Stämme a 0.05 
424,Laubbaum,Süßkirsche,Prunus avium,0.09,4.5,5.2,"1 qm, offene Erde, 2 Stämme a ca 0.09, Vermutung Süßkirsche"
425,Nadelbaum,Echte Zypresse,Cupressus sempervirens,0.12,1.5,6.9,
426,Laubbaum,Süßkirsche,Prunus avium,0.18,4.9,3.5,BHD geschätzt 
427,Laubbaum,Bergahorn,Acer pseudoplatanus,0.18,5.8,5.4,BHD geschätzt
428,Nadelbaum,Abendländischer Lebensbaum,Thuja occidentalis,0.14,2.5,7.7,2 Stämme a ca.  0.14
429,Laubbaum,Echte Feige,Ficus carica,0.08,2,2.7,
430,Laubbaum,Echte Feige,Ficus carica,0.07,1,2.4,2 Stämme a ca. 0.07
431,Laubbaum,Echte Feige,Ficus carica,0.06,1.4,2.7,
432,Laubbaum,Echte Feige,Ficus carica,0.06,1,2.6,
